100,0.274,0.23,0.207,0.186
200,0.751,0.606,0.539,0.469
300,1.345,1.083,0.932,0.789
400,2.054,1.618,1.443,1.152
500,2.779,2.168,1.873,1.548
600,3.626,2.721,2.304,1.924
700,4.364,3.415,2.885,2.466
800,5.258,3.958,3.386,2.813
900,6.396,4.735,4,3.394
1000,7.486,5.472,4.714,3.881
1100,8.394,6.069,5.307,4.441
1200,9.699,6.862,5.971,4.982
1300,10.831,7.84,6.683,5.634
1400,12.146,8.664,7.43,6.105
1500,13.169,9.323,8.263,6.755
1600,14.71,10.344,9.111,7.611
1700,15.808,11.084,9.872,8.151
1800,17.062,11.947,10.526,8.831
1900,18.47,12.867,11.553,9.522
2000,20.382,14.005,12.461,10.278
